===============================================================================
Id,TSLA,len,datetime,open,high,low,close,volume,openinterest,adjclose,MAcrossover,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
20,TSLA,20,2016-07-12 23:59:59.999989,44.82,45.5,44.64,44.93,22856500.0,0.0,44.93,MAcrossover,20,736157.9999999999,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,TSLA,21,2016-07-13 23:59:59.999989,45.1,45.12,44.06,44.51,17835500.0,0.0,44.506001,MAcrossover,21,736158.9999999999,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,TSLA,22,2016-07-14 23:59:59.999989,44.62,44.99,44.21,44.31,13379000.0,0.0,44.306,MAcrossover,22,736159.9999999999,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,TSLA,23,2016-07-15 23:59:59.999989,44.5,44.55,43.93,44.08,11171000.0,0.0,44.080002,MAcrossover,23,736160.9999999999,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,TSLA,24,2016-07-18 23:59:59.999989,43.93,45.42,43.66,45.25,17060500.0,0.0,45.25,MAcrossover,24,736163.9999999999,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,TSLA,25,2016-07-19 23:59:59.999989,45.0,45.82,44.95,45.05,15575500.0,0.0,45.051998,MAcrossover,25,736164.9999999999,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,TSLA,26,2016-07-20 23:59:59.999989,45.29,45.96,45.0,45.67,12842500.0,0.0,45.672001,MAcrossover,26,736165.9999999999,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,TSLA,27,2016-07-21 23:59:59.999989,45.2,45.57,43.82,44.1,22143500.0,0.0,44.099998,MAcrossover,27,736166.9999999999,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,TSLA,28,2016-07-22 23:59:59.999989,44.4,44.9,43.78,44.45,12898500.0,0.0,44.453999,MAcrossover,28,736167.9999999999,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,TSLA,29,2016-07-25 23:59:59.999989,44.45,46.28,44.27,46.0,22453500.0,0.0,46.001999,MAcrossover,29,736170.9999999999,Broker,29,10000.0,10000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,TSLA,30,2016-07-26 23:59:59.999989,45.54,46.0,45.06,45.9,17150000.0,0.0,45.902,MAcrossover,30,736171.9999999999,Broker,30,10000.0,10000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,TSLA,31,2016-07-27 23:59:59.999989,45.87,46.67,45.38,45.7,14445000.0,0.0,45.698002,MAcrossover,31,736172.9999999999,Broker,31,10000.0,10000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,TSLA,32,2016-07-28 23:59:59.999989,45.59,46.15,45.32,46.12,12095500.0,0.0,46.122002,MAcrossover,32,736173.9999999999,Broker,32,10000.0,10000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,TSLA,33,2016-07-29 23:59:59.999989,46.14,47.06,46.05,46.96,15354000.0,0.0,46.958,MAcrossover,33,736174.9999999999,Broker,33,10000.0,10000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,TSLA,34,2016-08-01 23:59:59.999989,47.1,47.33,45.88,46.0,20081500.0,0.0,46.001999,MAcrossover,34,736177.9999999999,Broker,34,10000.0,10000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,TSLA,35,2016-08-02 23:59:59.999989,45.87,45.97,44.28,45.44,19672000.0,0.0,45.439999,MAcrossover,35,736178.9999999999,Broker,35,10000.0,10000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,TSLA,36,2016-08-03 23:59:59.999989,45.47,45.94,44.84,45.16,19439000.0,0.0,45.158001,MAcrossover,36,736179.9999999999,Broker,36,10000.0,10000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,TSLA,37,2016-08-04 23:59:59.999989,45.14,46.17,44.41,46.12,20735000.0,0.0,46.122002,MAcrossover,37,736180.9999999999,Broker,37,10000.0,10000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,TSLA,38,2016-08-05 23:59:59.999989,46.0,46.4,45.48,46.01,16026000.0,0.0,46.006001,MAcrossover,38,736181.9999999999,Broker,38,10000.0,10000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,TSLA,39,2016-08-08 23:59:59.999989,45.6,45.92,45.22,45.23,11318000.0,0.0,45.231998,MAcrossover,39,736184.9999999999,Broker,39,10000.0,10000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,TSLA,40,2016-08-09 23:59:59.999989,45.36,46.31,45.33,45.82,11039000.0,0.0,45.816002,MAcrossover,40,736185.9999999999,Broker,40,10000.0,10000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,TSLA,41,2016-08-10 23:59:59.999989,45.65,45.97,44.92,45.13,11691500.0,0.0,45.130001,MAcrossover,41,736186.9999999999,Broker,41,10000.0,10000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,TSLA,42,2016-08-11 23:59:59.999989,45.23,45.51,44.68,44.98,9404500.0,0.0,44.981998,MAcrossover,42,736187.9999999999,Broker,42,10000.0,10000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,TSLA,43,2016-08-12 23:59:59.999989,45.08,45.33,44.81,45.12,9067500.0,0.0,45.122002,MAcrossover,43,736188.9999999999,Broker,43,10000.0,10000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,TSLA,44,2016-08-15 23:59:59.999989,45.2,45.9,44.99,45.12,10171500.0,0.0,45.118,MAcrossover,44,736191.9999999999,Broker,44,10000.0,10000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,TSLA,45,2016-08-16 23:59:59.999989,45.1,45.44,44.68,44.72,11335500.0,0.0,44.722,MAcrossover,45,736192.9999999999,Broker,45,10000.0,10000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,TSLA,46,2016-08-17 23:59:59.999989,44.87,44.97,44.56,44.65,8935500.0,0.0,44.647999,MAcrossover,46,736193.9999999999,Broker,46,10000.0,10000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,TSLA,47,2016-08-18 23:59:59.999989,44.76,45.13,44.46,44.7,8572500.0,0.0,44.702,MAcrossover,47,736194.9999999999,Broker,47,10000.0,10000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,TSLA,48,2016-08-19 23:59:59.999989,44.71,45.03,44.51,45.0,8297500.0,0.0,45.0,MAcrossover,48,736195.9999999999,Broker,48,10000.0,10000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,TSLA,49,2016-08-22 23:59:59.999989,44.83,45.02,44.54,44.59,10327500.0,0.0,44.585999,MAcrossover,49,736198.9999999999,Broker,49,10000.0,10000.0,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,TSLA,50,2016-08-23 23:59:59.999989,44.86,45.7,44.56,44.97,23922000.0,0.0,44.967999,MAcrossover,50,736199.9999999999,Broker,50,10000.0,10000.0,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,TSLA,51,2016-08-24 23:59:59.999989,45.41,45.43,44.44,44.52,12853500.0,0.0,44.523998,MAcrossover,51,736200.9999999999,Broker,51,10000.0,10000.0,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,TSLA,52,2016-08-25 23:59:59.999989,44.62,44.76,44.15,44.19,8812500.0,0.0,44.192001,MAcrossover,52,736201.9999999999,Broker,52,10000.0,10000.0,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,TSLA,53,2016-08-26 23:59:59.999989,44.43,44.57,43.76,44.0,11195000.0,0.0,43.998001,MAcrossover,53,736202.9999999999,Broker,53,10000.0,10000.0,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,TSLA,54,2016-08-29 23:59:59.999989,44.03,44.08,43.0,43.04,16331500.0,0.0,43.040001,MAcrossover,54,736205.9999999999,Broker,54,10000.0,10000.0,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,TSLA,55,2016-08-30 23:59:59.999989,43.22,43.22,42.1,42.27,15844500.0,0.0,42.268002,MAcrossover,55,736206.9999999999,Broker,55,10000.0,10000.0,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,TSLA,56,2016-08-31 23:59:59.999989,42.09,42.52,41.73,42.4,16382500.0,0.0,42.402,MAcrossover,56,736207.9999999999,Broker,56,10000.0,10000.0,BuySell,56,,,Trades - Net Profit/Loss,56,,
